person,event,roleWithinEvent
per.001167,oscys.caseid.0151,plaintiff
per.001168,oscys.caseid.0151,defendant
per.000737,oscys.caseid.0151,attorney
per.000738,oscys.caseid.0151,attorney
per.000003,oscys.caseid.0151,""
per.000004,oscys.caseid.0151,""
per.000739,oscys.caseid.0151,""
per.003549,oscys.caseid.0458,plaintiff
per.003550,oscys.caseid.0458,defendant
per.003551,oscys.caseid.0458,attorney
per.003548,oscys.caseid.0458,""
per.003552,oscys.caseid.0458,""
per.003553,oscys.caseid.0458,""
per.003554,oscys.caseid.0458,""
per.000700,oscys.caseid.0090,plaintiff
per.000701,oscys.caseid.0090,defendant
per.000572,oscys.caseid.0090,attorney
per.000003,oscys.caseid.0090,""
per.000004,oscys.caseid.0090,""
per.000461,oscys.caseid.0090,""
per.006430,oscys.caseid.0592,plaintiff
per.006425,oscys.caseid.0592,defendant
per.001393,oscys.caseid.0592,attorney
per.002096,oscys.caseid.0592,""
per.001493,oscys.caseid.0592,""
per.002097,oscys.caseid.0592,""
per.006312,oscys.caseid.0592,""
per.006426,oscys.caseid.0592,""
per.006398,oscys.caseid.0592,""
per.006399,oscys.caseid.0592,""
per.006687,oscys.caseid.0650,plaintiff
per.006688,oscys.caseid.0650,defendant
per.001393,oscys.caseid.0650,attorney
per.006312,oscys.caseid.0650,""
per.006669,oscys.caseid.0650,""
per.006406,oscys.caseid.0650,""
per.006398,oscys.caseid.0650,""
per.006399,oscys.caseid.0650,""
per.001493,oscys.caseid.0650,""
per.002097,oscys.caseid.0650,""
per.006670,oscys.caseid.0650,""
per.001200,oscys.caseid.0162,plaintiff
per.001201,oscys.caseid.0162,defendant
per.000640,oscys.caseid.0162,attorney
per.000003,oscys.caseid.0162,""
per.001197,oscys.caseid.0162,""
per.001198,oscys.caseid.0162,""
per.000044,oscys.caseid.0162,""
per.001199,oscys.caseid.0162,""
per.000004,oscys.caseid.0162,""
per.000883,oscys.caseid.0162,""
per.001204,oscys.caseid.0162,""
per.003815,oscys.caseid.0162,""
per.003696,oscys.caseid.0162,""
per.002547,oscys.caseid.0162,""
per.003781,oscys.caseid.0162,""
per.002328,oscys.caseid.0162,""
per.003896,oscys.caseid.0162,""
per.003820,oscys.caseid.0162,""
per.003897,oscys.caseid.0162,""
per.003898,oscys.caseid.0162,""
per.003823,oscys.caseid.0162,""
per.003899,oscys.caseid.0162,""
per.003826,oscys.caseid.0162,""
per.003900,oscys.caseid.0162,""
per.003864,oscys.caseid.0162,""
per.003828,oscys.caseid.0162,""
per.003829,oscys.caseid.0162,""
per.003831,oscys.caseid.0162,""
per.003901,oscys.caseid.0162,""
per.002745,oscys.caseid.0162,""
per.003902,oscys.caseid.0162,""
per.002549,oscys.caseid.0162,""
per.002315,oscys.caseid.0162,""
per.003833,oscys.caseid.0162,""
per.003836,oscys.caseid.0162,""
per.003837,oscys.caseid.0162,""
per.003838,oscys.caseid.0162,""
per.003839,oscys.caseid.0162,""
per.000001,oscys.caseid.0162,attorney
per.000464,oscys.caseid.0162,attorney
per.000831,oscys.caseid.0105,plaintiff
per.000832,oscys.caseid.0105,plaintiff
per.000833,oscys.caseid.0105,plaintiff
per.000834,oscys.caseid.0105,plaintiff
per.000278,oscys.caseid.0105,defendant
per.000836,oscys.caseid.0105,defendant
per.000476,oscys.caseid.0105,attorney
per.000001,oscys.caseid.0105,attorney
per.000003,oscys.caseid.0105,""
per.000004,oscys.caseid.0105,""
per.000502,oscys.caseid.0105,""
per.000837,oscys.caseid.0105,""
per.000838,oscys.caseid.0105,""
per.000839,oscys.caseid.0105,""
per.000840,oscys.caseid.0105,""
per.000740,oscys.caseid.0105,""
per.000461,oscys.caseid.0105,""
per.002546,oscys.caseid.0105,""
per.004649,oscys.caseid.0105,""
per.003696,oscys.caseid.0105,""
per.000006,oscys.caseid.0105,""
per.004653,oscys.caseid.0105,""
per.004659,oscys.caseid.0105,""
per.003817,oscys.caseid.0105,""
per.004652,oscys.caseid.0105,""
per.004657,oscys.caseid.0105,""
per.004646,oscys.caseid.0105,""
per.003509,oscys.caseid.0105,""
per.004055,oscys.caseid.0105,""
per.001574,oscys.caseid.0105,""
per.004655,oscys.caseid.0105,""
per.004661,oscys.caseid.0105,""
per.000977,oscys.caseid.0105,""
per.004660,oscys.caseid.0105,""
per.003830,oscys.caseid.0105,""
per.001621,oscys.caseid.0105,""
per.000978,oscys.caseid.0105,""
per.003867,oscys.caseid.0105,""
per.004056,oscys.caseid.0105,""
per.002549,oscys.caseid.0105,""
per.002315,oscys.caseid.0105,""
per.004000,oscys.caseid.0105,""
per.003837,oscys.caseid.0105,""
per.004654,oscys.caseid.0105,""
per.004651,oscys.caseid.0105,""
per.004658,oscys.caseid.0105,""
per.004650,oscys.caseid.0105,""
per.004647,oscys.caseid.0105,""
per.004648,oscys.caseid.0105,""
per.004312,oscys.caseid.0472,plaintiff
per.004313,oscys.caseid.0472,plaintiff
per.002112,oscys.caseid.0472,attorney
per.002883,oscys.caseid.0472,attorney
per.000064,oscys.caseid.0472,""
per.004311,oscys.caseid.0472,""
per.002119,oscys.caseid.0261,plaintiff
per.002120,oscys.caseid.0261,plaintiff
per.002121,oscys.caseid.0261,plaintiff
per.002122,oscys.caseid.0261,plaintiff
per.002123,oscys.caseid.0261,defendant
per.002124,oscys.caseid.0261,defendant
per.002125,oscys.caseid.0261,defendant
per.002126,oscys.caseid.0261,defendant
per.000001,oscys.caseid.0261,attorney
per.000003,oscys.caseid.0261,""
per.002118,oscys.caseid.0261,""
per.000006,oscys.caseid.0261,""
per.000004,oscys.caseid.0261,""
per.003504,oscys.caseid.0461,plaintiff
per.003505,oscys.caseid.0461,plaintiff
per.003506,oscys.caseid.0461,plaintiff
per.003507,oscys.caseid.0461,plaintiff
per.003501,oscys.caseid.0461,""
per.000004,oscys.caseid.0461,""
per.003502,oscys.caseid.0461,""
per.000044,oscys.caseid.0461,""
per.000064,oscys.caseid.0461,""
per.000904,oscys.caseid.0461,defendant
per.003499,oscys.caseid.0461,defendant
per.000873,oscys.caseid.0461,attorney
per.000003,oscys.caseid.0461,""
per.000699,oscys.caseid.0461,""
per.003510,oscys.caseid.0461,""
per.000502,oscys.caseid.0461,""
per.003564,oscys.caseid.0461,""
per.003565,oscys.caseid.0461,""
per.000122,oscys.caseid.0461,""
per.002897,oscys.caseid.0461,""
per.003566,oscys.caseid.0461,""
per.003567,oscys.caseid.0461,""
per.003568,oscys.caseid.0461,""
per.003569,oscys.caseid.0461,""
per.000866,oscys.caseid.0461,""
per.000131,oscys.caseid.0461,""
per.003570,oscys.caseid.0461,""
per.000435,oscys.caseid.0461,attorney
per.000739,oscys.caseid.0461,""
per.005350,oscys.caseid.0539,plaintiff
per.005351,oscys.caseid.0539,plaintiff
per.005352,oscys.caseid.0539,defendant
per.001393,oscys.caseid.0539,attorney
per.004534,oscys.caseid.0539,attorney
per.001495,oscys.caseid.0539,attorney
per.004601,oscys.caseid.0539,""
per.001514,oscys.caseid.0539,""
per.001493,oscys.caseid.0539,""
per.005133,oscys.caseid.0539,""
per.005170,oscys.caseid.0539,""
per.005218,oscys.caseid.0539,""
per.005224,oscys.caseid.0539,""
per.005288,oscys.caseid.0539,""
per.006576,oscys.caseid.0602,plaintiff
per.006577,oscys.caseid.0602,defendant
per.001393,oscys.caseid.0602,attorney
per.001495,oscys.caseid.0602,attorney
per.006578,oscys.caseid.0602,""
per.006346,oscys.caseid.0602,""
per.006579,oscys.caseid.0602,""
per.006312,oscys.caseid.0602,""
per.002096,oscys.caseid.0602,""
per.001493,oscys.caseid.0602,""
per.002097,oscys.caseid.0602,""
per.000887,oscys.caseid.0122,plaintiff
per.000888,oscys.caseid.0122,defendant
per.000889,oscys.caseid.0122,attorney
per.000003,oscys.caseid.0122,""
per.000004,oscys.caseid.0122,""
per.000739,oscys.caseid.0122,""
per.001184,oscys.caseid.0158,plaintiff
per.001185,oscys.caseid.0158,defendant
per.000757,oscys.caseid.0158,attorney
per.000003,oscys.caseid.0158,""
per.000004,oscys.caseid.0158,""
per.000739,oscys.caseid.0158,""
per.001186,oscys.caseid.0158,""
per.001187,oscys.caseid.0158,""
per.000738,oscys.caseid.0158,attorney
per.000496,oscys.caseid.0158,attorney
per.001016,oscys.caseid.0158,attorney
per.001031,oscys.caseid.0158,""
per.000001,oscys.caseid.0158,""
per.004310,oscys.caseid.0158,""
per.000064,oscys.caseid.0158,""
per.002275,oscys.caseid.0300,plaintiff
per.002158,oscys.caseid.0300,defendant
per.000829,oscys.caseid.0300,attorney
per.000004,oscys.caseid.0300,""
per.002159,oscys.caseid.0300,""
per.000740,oscys.caseid.0300,""
per.002151,oscys.caseid.0300,""
per.000851,oscys.caseid.0300,attorney
per.001638,oscys.caseid.0200,plaintiff
per.001639,oscys.caseid.0200,plaintiff
per.001640,oscys.caseid.0200,plaintiff
per.001637,oscys.caseid.0200,defendant
per.000464,oscys.caseid.0200,attorney
per.000003,oscys.caseid.0200,""
per.000004,oscys.caseid.0200,""
per.000739,oscys.caseid.0200,""
per.003180,oscys.caseid.0428,plaintiff
per.002112,oscys.caseid.0428,defendant
per.003181,oscys.caseid.0428,attorney
per.003179,oscys.caseid.0428,""
per.001476,oscys.caseid.0485,plaintiff
per.000215,oscys.caseid.0485,defendant
per.004369,oscys.caseid.0485,attorney
per.001393,oscys.caseid.0485,attorney
per.001495,oscys.caseid.0485,attorney
per.004373,oscys.caseid.0485,attorney
per.000183,oscys.caseid.0485,attorney
per.004374,oscys.caseid.0485,""
per.001973,oscys.caseid.0485,attorney
per.001543,oscys.caseid.0485,attorney
per.001950,oscys.caseid.0342,plaintiff
per.001943,oscys.caseid.0342,defendant
per.001393,oscys.caseid.0342,attorney
per.001495,oscys.caseid.0342,attorney
per.002025,oscys.caseid.0342,""
per.001951,oscys.caseid.0342,""
per.001972,oscys.caseid.0342,""
per.002026,oscys.caseid.0342,""
per.002027,oscys.caseid.0342,""
per.002077,oscys.caseid.0342,""
per.005054,oscys.caseid.0342,""
per.002029,oscys.caseid.0342,""
per.002083,oscys.caseid.0342,""
per.001946,oscys.caseid.0342,""
per.002030,oscys.caseid.0342,""
per.002031,oscys.caseid.0342,""
per.002032,oscys.caseid.0342,""
per.002079,oscys.caseid.0342,""
per.001953,oscys.caseid.0342,""
per.002033,oscys.caseid.0342,""
per.002034,oscys.caseid.0342,""
per.002035,oscys.caseid.0342,""
per.002036,oscys.caseid.0342,""
per.002084,oscys.caseid.0342,""
per.002037,oscys.caseid.0342,""
per.002080,oscys.caseid.0342,""
per.002038,oscys.caseid.0342,""
per.002039,oscys.caseid.0342,""
per.002040,oscys.caseid.0342,""
per.002078,oscys.caseid.0342,""
per.002088,oscys.caseid.0342,""
per.002082,oscys.caseid.0342,""
per.001493,oscys.caseid.0342,""
per.002041,oscys.caseid.0342,""
per.002091,oscys.caseid.0342,""
per.002100,oscys.caseid.0342,""
per.002042,oscys.caseid.0342,""
per.002043,oscys.caseid.0342,""
per.002090,oscys.caseid.0342,""
per.002044,oscys.caseid.0342,""
per.002045,oscys.caseid.0342,""
per.002046,oscys.caseid.0342,""
per.002047,oscys.caseid.0342,""
per.002048,oscys.caseid.0342,""
per.002049,oscys.caseid.0342,""
per.002050,oscys.caseid.0342,""
per.001964,oscys.caseid.0342,""
per.002051,oscys.caseid.0342,""
per.002052,oscys.caseid.0342,""
per.002053,oscys.caseid.0342,""
per.002081,oscys.caseid.0342,""
per.002054,oscys.caseid.0342,""
per.002068,oscys.caseid.0342,""
per.002069,oscys.caseid.0342,""
per.002070,oscys.caseid.0342,""
per.002071,oscys.caseid.0342,""
per.002072,oscys.caseid.0342,""
per.002055,oscys.caseid.0342,""
per.002056,oscys.caseid.0342,""
per.002076,oscys.caseid.0342,""
per.002057,oscys.caseid.0342,""
per.002087,oscys.caseid.0342,""
per.002058,oscys.caseid.0342,""
per.002059,oscys.caseid.0342,""
per.002060,oscys.caseid.0342,""
per.001532,oscys.caseid.0342,""
per.002085,oscys.caseid.0342,""
per.002093,oscys.caseid.0342,""
per.002062,oscys.caseid.0342,""
per.002063,oscys.caseid.0342,""
per.002089,oscys.caseid.0342,""
per.002064,oscys.caseid.0342,""
per.002086,oscys.caseid.0342,""
per.001932,oscys.caseid.0342,""
per.002065,oscys.caseid.0342,""
per.001949,oscys.caseid.0342,""
per.002016,oscys.caseid.0342,""
per.002066,oscys.caseid.0342,""
per.002092,oscys.caseid.0342,""
per.002067,oscys.caseid.0342,""
per.002073,oscys.caseid.0342,""
per.002074,oscys.caseid.0342,""
per.002075,oscys.caseid.0342,""
per.002094,oscys.caseid.0342,""
per.002095,oscys.caseid.0342,""
per.002096,oscys.caseid.0342,""
per.002097,oscys.caseid.0342,""
per.002098,oscys.caseid.0342,""
per.002099,oscys.caseid.0342,""
per.001982,oscys.caseid.0342,""
per.002101,oscys.caseid.0342,""
per.002102,oscys.caseid.0342,""
per.001514,oscys.caseid.0342,""
per.006652,oscys.caseid.0639,plaintiff
per.006653,oscys.caseid.0639,defendant
per.001393,oscys.caseid.0639,attorney
per.001495,oscys.caseid.0639,attorney
per.006654,oscys.caseid.0639,""
per.001493,oscys.caseid.0639,""
per.004307,oscys.caseid.0471,plaintiff
per.004308,oscys.caseid.0471,defendant
per.000001,oscys.caseid.0471,attorney
per.004309,oscys.caseid.0471,attorney
per.004306,oscys.caseid.0471,""
per.000044,oscys.caseid.0471,""
per.002386,oscys.caseid.0319,plaintiff
per.002387,oscys.caseid.0319,defendant
per.000476,oscys.caseid.0319,""
per.001216,oscys.caseid.0319,""
per.000740,oscys.caseid.0319,""
per.001826,oscys.caseid.0239,plaintiff
per.001827,oscys.caseid.0239,defendant
per.000751,oscys.caseid.0239,attorney
per.001222,oscys.caseid.0166,plaintiff
per.001223,oscys.caseid.0166,defendant
per.001224,oscys.caseid.0166,attorney
per.000003,oscys.caseid.0166,""
per.000004,oscys.caseid.0166,""
per.000739,oscys.caseid.0166,""
per.000748,oscys.caseid.0166,""
per.000740,oscys.caseid.0166,""
per.001194,oscys.caseid.0166,attorney
per.000753,oscys.caseid.0166,""
per.001216,oscys.caseid.0166,""
per.001225,oscys.caseid.0166,attorney
per.005353,oscys.caseid.0540,plaintiff
per.005354,oscys.caseid.0540,defendant
per.001493,oscys.caseid.0540,""
per.001174,oscys.caseid.0155,plaintiff
per.001175,oscys.caseid.0155,defendant
per.000873,oscys.caseid.0155,attorney
per.000003,oscys.caseid.0155,""
per.000004,oscys.caseid.0155,""
per.000739,oscys.caseid.0155,""
per.002533,oscys.caseid.0367,plaintiff
per.002534,oscys.caseid.0367,defendant
per.000476,oscys.caseid.0367,attorney
per.000001,oscys.caseid.0367,attorney
per.000003,oscys.caseid.0367,""
per.000004,oscys.caseid.0367,""
per.000461,oscys.caseid.0367,""
per.002532,oscys.caseid.0367,""
per.003615,oscys.caseid.0463,plaintiff
per.000904,oscys.caseid.0463,defendant
per.003499,oscys.caseid.0463,defendant
per.000873,oscys.caseid.0463,attorney
per.000003,oscys.caseid.0463,""
per.000004,oscys.caseid.0463,""
per.000739,oscys.caseid.0463,""
per.000122,oscys.caseid.0463,""
per.001701,oscys.caseid.0463,""
per.003508,oscys.caseid.0463,""
per.001002,oscys.caseid.0463,""
per.003509,oscys.caseid.0463,""
per.003616,oscys.caseid.0463,""
per.003520,oscys.caseid.0463,""
per.003495,oscys.caseid.0463,""
per.003511,oscys.caseid.0463,""
per.003512,oscys.caseid.0463,""
per.000866,oscys.caseid.0463,""
per.003521,oscys.caseid.0463,""
per.002897,oscys.caseid.0463,""
per.003617,oscys.caseid.0463,""
per.003618,oscys.caseid.0463,""
per.003619,oscys.caseid.0463,""
per.003620,oscys.caseid.0463,""
per.003621,oscys.caseid.0463,""
per.003565,oscys.caseid.0463,""
per.003622,oscys.caseid.0463,""
per.003623,oscys.caseid.0463,""
per.003624,oscys.caseid.0463,""
per.003625,oscys.caseid.0463,""
per.003626,oscys.caseid.0463,""
per.003627,oscys.caseid.0463,""
per.003628,oscys.caseid.0463,""
per.006391,oscys.caseid.0658,plaintiff
per.006575,oscys.caseid.0658,""
per.001930,oscys.caseid.0258,plaintiff
per.001464,oscys.caseid.0258,defendant
per.000011,oscys.caseid.0258,attorney
per.000006,oscys.caseid.0258,""
per.000003,oscys.caseid.0258,""
per.000004,oscys.caseid.0258,""
per.006803,oscys.caseid.0545,plaintiff
per.006804,oscys.caseid.0545,defendant
per.006711,oscys.caseid.0545,""
per.006712,oscys.caseid.0545,""
per.001818,oscys.caseid.0236,plaintiff
per.001819,oscys.caseid.0236,defendant
per.000751,oscys.caseid.0236,attorney
per.000753,oscys.caseid.0236,""
per.000004,oscys.caseid.0236,""
per.000740,oscys.caseid.0236,""
per.001216,oscys.caseid.0236,""
per.000476,oscys.caseid.0236,""
per.001217,oscys.caseid.0236,""
per.000890,oscys.caseid.0123,plaintiff
per.000891,oscys.caseid.0123,defendant
per.000866,oscys.caseid.0123,defendant
per.000757,oscys.caseid.0123,attorney
per.000892,oscys.caseid.0123,""
per.000003,oscys.caseid.0123,""
per.002399,oscys.caseid.0322,plaintiff
per.002400,oscys.caseid.0322,defendant
per.001913,oscys.caseid.0322,attorney
per.002398,oscys.caseid.0322,""
per.000476,oscys.caseid.0322,""
per.001216,oscys.caseid.0322,""
per.000740,oscys.caseid.0322,""
per.000150,oscys.caseid.0017,plaintiff
per.000151,oscys.caseid.0017,plaintiff
per.000152,oscys.caseid.0017,plaintiff
per.000153,oscys.caseid.0017,defendant
per.000011,oscys.caseid.0017,attorney
per.000006,oscys.caseid.0017,""
per.000003,oscys.caseid.0017,""
per.000004,oscys.caseid.0017,""
per.000154,oscys.caseid.0017,""
per.000155,oscys.caseid.0017,""
per.000156,oscys.caseid.0017,""
per.000157,oscys.caseid.0017,""
per.000158,oscys.caseid.0017,""
per.000159,oscys.caseid.0017,""
per.000160,oscys.caseid.0017,""
per.000063,oscys.caseid.0017,""
per.000064,oscys.caseid.0017,""
per.000167,oscys.caseid.0017,""
per.000028,oscys.caseid.0017,""
per.000168,oscys.caseid.0017,""
per.001181,oscys.caseid.0017,""
per.000169,oscys.caseid.0017,""
per.001516,oscys.caseid.0017,""
per.000170,oscys.caseid.0017,""
per.000171,oscys.caseid.0017,""
per.000172,oscys.caseid.0017,""
per.000173,oscys.caseid.0017,""
per.000175,oscys.caseid.0017,""
per.000174,oscys.caseid.0017,""
per.000176,oscys.caseid.0017,""
per.000177,oscys.caseid.0017,""
per.000029,oscys.caseid.0017,""
per.000178,oscys.caseid.0017,""
per.004817,oscys.caseid.0017,""
per.000179,oscys.caseid.0017,""
per.000180,oscys.caseid.0017,""
per.000182,oscys.caseid.0017,""
per.000181,oscys.caseid.0017,""
per.002694,oscys.caseid.0017,""
per.000087,oscys.caseid.0017,""
per.000092,oscys.caseid.0017,""
per.001457,oscys.caseid.0017,""
per.002695,oscys.caseid.0017,""
per.002696,oscys.caseid.0017,""
per.001575,oscys.caseid.0017,""
per.002697,oscys.caseid.0017,""
per.001460,oscys.caseid.0017,""
per.000105,oscys.caseid.0017,""
per.002698,oscys.caseid.0017,""
per.000111,oscys.caseid.0017,""
per.002741,oscys.caseid.0017,""
per.000287,oscys.caseid.0017,""
per.001455,oscys.caseid.0017,""
per.003702,oscys.caseid.0017,""
per.002699,oscys.caseid.0017,""
per.000089,oscys.caseid.0017,""
per.001163,oscys.caseid.0017,""
per.003705,oscys.caseid.0017,""
per.004258,oscys.caseid.0017,""
per.001552,oscys.caseid.0017,""
per.004259,oscys.caseid.0017,""
per.004260,oscys.caseid.0017,""
per.003711,oscys.caseid.0017,""
per.004261,oscys.caseid.0017,""
per.000103,oscys.caseid.0017,""
per.004255,oscys.caseid.0017,""
per.000106,oscys.caseid.0017,""
per.004262,oscys.caseid.0017,""
per.000122,oscys.caseid.0017,attorney
per.002272,oscys.caseid.0299,plaintiff
per.002273,oscys.caseid.0299,defendant
per.001495,oscys.caseid.0299,attorney
per.000751,oscys.caseid.0299,attorney
per.002274,oscys.caseid.0299,attorney
per.000004,oscys.caseid.0299,""
per.000740,oscys.caseid.0299,""
per.000753,oscys.caseid.0299,""
per.001891,oscys.caseid.0252,plaintiff
per.001892,oscys.caseid.0252,plaintiff
per.001893,oscys.caseid.0252,plaintiff
per.001894,oscys.caseid.0252,plaintiff
per.001895,oscys.caseid.0252,defendant
per.000751,oscys.caseid.0252,attorney
per.000004,oscys.caseid.0252,""
per.000740,oscys.caseid.0252,""
per.000753,oscys.caseid.0252,""
per.000847,oscys.caseid.0252,attorney
per.001216,oscys.caseid.0252,""
per.001896,oscys.caseid.0252,defendant
per.000476,oscys.caseid.0252,""
per.001217,oscys.caseid.0252,""
per.001434,oscys.caseid.0441,plaintiff
per.002624,oscys.caseid.0441,defendant
per.002911,oscys.caseid.0441,attorney
per.001432,oscys.caseid.0441,""
per.002912,oscys.caseid.0441,""
per.003294,oscys.caseid.0441,""
per.001430,oscys.caseid.0441,""
per.001436,oscys.caseid.0441,""
per.003295,oscys.caseid.0441,""
per.002913,oscys.caseid.0441,""
per.003296,oscys.caseid.0441,""
per.003297,oscys.caseid.0441,""
per.000084,oscys.caseid.0441,""
per.000004,oscys.caseid.0441,""
per.003298,oscys.caseid.0441,""
per.000122,oscys.caseid.0441,""
per.002897,oscys.caseid.0441,""
per.003299,oscys.caseid.0441,""
per.000739,oscys.caseid.0441,""
per.003300,oscys.caseid.0441,""
per.000502,oscys.caseid.0441,""
per.002625,oscys.caseid.0441,""
per.003301,oscys.caseid.0441,""
per.002989,oscys.caseid.0441,""
per.003302,oscys.caseid.0441,""
per.003503,oscys.caseid.0441,plaintiff
per.000904,oscys.caseid.0441,defendant
per.003499,oscys.caseid.0441,defendant
per.000873,oscys.caseid.0441,attorney
per.000003,oscys.caseid.0441,""
per.001621,oscys.caseid.0441,""
per.000044,oscys.caseid.0441,""
per.004877,oscys.caseid.0495,plaintiff
per.004374,oscys.caseid.0495,""
per.003522,oscys.caseid.0457,plaintiff
per.003523,oscys.caseid.0457,defendant
per.000122,oscys.caseid.0457,attorney
per.001523,oscys.caseid.0457,""
per.003524,oscys.caseid.0457,""
per.001531,oscys.caseid.0457,""
per.000004,oscys.caseid.0457,""
per.002816,oscys.caseid.0457,""
per.002989,oscys.caseid.0457,""
per.000461,oscys.caseid.0457,""
per.003525,oscys.caseid.0457,""
per.003526,oscys.caseid.0457,""
per.003527,oscys.caseid.0457,""
per.003528,oscys.caseid.0457,""
per.003529,oscys.caseid.0457,""
per.003530,oscys.caseid.0457,""
per.003531,oscys.caseid.0457,""
per.003532,oscys.caseid.0457,""
per.003533,oscys.caseid.0457,""
per.003534,oscys.caseid.0457,""
per.003535,oscys.caseid.0457,""
per.003536,oscys.caseid.0457,""
per.003537,oscys.caseid.0457,""
per.003538,oscys.caseid.0457,""
per.003539,oscys.caseid.0457,""
per.003540,oscys.caseid.0457,""
per.003541,oscys.caseid.0457,""
per.003542,oscys.caseid.0457,""
per.003543,oscys.caseid.0457,""
per.003544,oscys.caseid.0457,""
per.003545,oscys.caseid.0457,""
per.003546,oscys.caseid.0457,""
per.002883,oscys.caseid.0457,""
per.003547,oscys.caseid.0457,""
per.002897,oscys.caseid.0457,""
per.006655,oscys.caseid.0640,plaintiff
per.006656,oscys.caseid.0640,defendant
per.001493,oscys.caseid.0640,""
per.005308,oscys.caseid.0525,plaintiff
per.005298,oscys.caseid.0525,defendant
per.001393,oscys.caseid.0525,attorney
per.001495,oscys.caseid.0525,attorney
per.001514,oscys.caseid.0525,""
per.001493,oscys.caseid.0525,""
per.005326,oscys.caseid.0525,""
per.002691,oscys.caseid.0525,""
per.005217,oscys.caseid.0525,""
per.004601,oscys.caseid.0525,""
per.005300,oscys.caseid.0525,""
per.005302,oscys.caseid.0525,""
per.005306,oscys.caseid.0525,""
per.005313,oscys.caseid.0525,""
per.005323,oscys.caseid.0525,""
per.005281,oscys.caseid.0525,""
per.005299,oscys.caseid.0525,""
per.005151,oscys.caseid.0525,""
per.005152,oscys.caseid.0525,""
per.005172,oscys.caseid.0525,""
per.005198,oscys.caseid.0525,""
per.005220,oscys.caseid.0525,""
per.005307,oscys.caseid.0525,""
per.005222,oscys.caseid.0525,""
per.005224,oscys.caseid.0525,""
per.005311,oscys.caseid.0525,""
per.005312,oscys.caseid.0525,""
per.005314,oscys.caseid.0525,""
per.005319,oscys.caseid.0525,""
per.005251,oscys.caseid.0525,""
per.005297,oscys.caseid.0525,""
per.005054,oscys.caseid.0525,""
per.005327,oscys.caseid.0525,""
per.005119,oscys.caseid.0525,""
per.005174,oscys.caseid.0525,""
per.005236,oscys.caseid.0525,""
per.005199,oscys.caseid.0525,""
per.005201,oscys.caseid.0525,""
per.005214,oscys.caseid.0525,""
per.005225,oscys.caseid.0525,""
per.005315,oscys.caseid.0525,""
per.005233,oscys.caseid.0525,""
per.005316,oscys.caseid.0525,""
per.005318,oscys.caseid.0525,""
per.005322,oscys.caseid.0525,""
per.005249,oscys.caseid.0525,""
per.005324,oscys.caseid.0525,""
per.005254,oscys.caseid.0525,""
per.005325,oscys.caseid.0525,""
per.005295,oscys.caseid.0525,""
per.005056,oscys.caseid.0525,""
per.005279,oscys.caseid.0525,""
per.005071,oscys.caseid.0525,""
per.005301,oscys.caseid.0525,""
per.005303,oscys.caseid.0525,""
per.005328,oscys.caseid.0525,""
per.005123,oscys.caseid.0525,""
per.004640,oscys.caseid.0525,""
per.005282,oscys.caseid.0525,""
per.005153,oscys.caseid.0525,""
per.005200,oscys.caseid.0525,""
per.005208,oscys.caseid.0525,""
per.005309,oscys.caseid.0525,""
per.005238,oscys.caseid.0525,""
per.005310,oscys.caseid.0525,""
per.005229,oscys.caseid.0525,""
per.005317,oscys.caseid.0525,""
per.005237,oscys.caseid.0525,""
per.005241,oscys.caseid.0525,""
per.005246,oscys.caseid.0525,""
per.005320,oscys.caseid.0525,""
per.005294,oscys.caseid.0525,""
per.005252,oscys.caseid.0525,""
per.005165,oscys.caseid.0525,""
per.005256,oscys.caseid.0525,""
per.005329,oscys.caseid.0525,""
per.004886,oscys.caseid.0504,plaintiff
per.004374,oscys.caseid.0504,""
per.000203,oscys.caseid.0024,plaintiff
per.000204,oscys.caseid.0024,plaintiff
per.000205,oscys.caseid.0024,plaintiff
per.000206,oscys.caseid.0024,plaintiff
per.000207,oscys.caseid.0024,plaintiff
per.000208,oscys.caseid.0024,plaintiff
per.000209,oscys.caseid.0024,plaintiff
per.000210,oscys.caseid.0024,plaintiff
per.000211,oscys.caseid.0024,defendant
per.000212,oscys.caseid.0024,attorney
per.000003,oscys.caseid.0024,""
per.000201,oscys.caseid.0024,""
per.000202,oscys.caseid.0024,""
per.002737,oscys.caseid.0332,plaintiff
per.002738,oscys.caseid.0332,defendant
per.002728,oscys.caseid.0332,""
per.002729,oscys.caseid.0332,""
per.001453,oscys.caseid.0332,""
per.000087,oscys.caseid.0332,""
per.002730,oscys.caseid.0332,""
per.003704,oscys.caseid.0332,""
per.002695,oscys.caseid.0332,""
per.002731,oscys.caseid.0332,""
per.002732,oscys.caseid.0332,""
per.002697,oscys.caseid.0332,""
per.002733,oscys.caseid.0332,""
per.002734,oscys.caseid.0332,""
per.000103,oscys.caseid.0332,""
per.002704,oscys.caseid.0332,""
per.002735,oscys.caseid.0332,""
per.002736,oscys.caseid.0332,""
per.000111,oscys.caseid.0332,""
per.000004,oscys.caseid.0332,""
per.002801,oscys.caseid.0332,""
per.004892,oscys.caseid.0509,plaintiff
per.004931,oscys.caseid.0509,defendant
per.004902,oscys.caseid.0509,""
per.004926,oscys.caseid.0509,""
per.004347,oscys.caseid.0509,""
per.001951,oscys.caseid.0509,""
per.004911,oscys.caseid.0509,""
per.004901,oscys.caseid.0509,""
per.001953,oscys.caseid.0509,""
